Date,DOW,Rm Sold,Revenue,ADR,RevPar,Occupancy_Pct
2023-09-11,Mon,116,39283.64,338.652068965517,115.880943952802,34.21828908554572
2023-09-12,Tue,122,40567.48,332.520327868852,119.66808259587,35.9882005899705
2023-09-13,Wed,151,47101.9,311.933112582781,138.943657817109,44.54277286135693
2023-09-14,Thu,174,53222.9,305.878735632183,156.999705014749,51.32743362831859
2023-09-15,Fri,163,46968.79,288.15208588957,138.551002949852,48.08259587020649
2023-09-16,Sat,146,42826.8299999999,293.334452054794,126.332831858407,43.067846607669615
2023-09-17,Sun,137,41111.3199999999,300.082627737226,121.27233038348,40.41297935103245
2023-09-18,Mon,137,42805.81,312.451167883211,126.270825958702,40.41297935103245
2023-09-19,Tue,161,51730.67,321.30850931677,152.597846607669,47.49262536873156
2023-09-20,Wed,178,53789.77,302.189719101123,158.671887905604,52.50737463126843
2023-09-21,Thu,193,61872.31,320.581917098445,182.51418879056,56.932153392330385
2023-09-22,Fri,224,75221.28,335.809285714285,221.891681415929,66.07669616519173
2023-09-23,Sat,221,78899.17,357.009819004524,232.740914454277,65.19174041297934
2023-09-24,Sun,208,71690.35,344.665144230769,211.475958702064,61.35693215339233
2023-09-25,Mon,195,63097.7,323.577948717948,186.128908554572,57.52212389380531
2023-09-26,Tue,220,72658.03,330.263772727272,214.330471976401,64.89675516224189
2023-09-27,Wed,249,81964.03,329.172811244979,241.781799410029,73.45132743362832
2023-09-28,Thu,296,99312.86,335.516418918918,292.958289085545,87.31563421828909
2023-09-29,Fri,286,104916.82,366.842027972028,309.489144542772,84.36578171091446
2023-09-30,Sat,268,91257.61,340.513470149253,269.196489675516,79.05604719764013
2023-10-01,Sun,270,107241.319999999,397.190074074074,316.346076696165,79.64601769911505
2023-10-02,Mon,286,117971.36,412.487272727272,347.998112094395,84.36578171091446
2023-10-03,Tue,292,122601.02,419.866506849315,361.654926253687,86.13569321533923
2023-10-04,Wed,275,117965.24,428.964509090909,347.98005899705,81.12094395280236
2023-10-05,Thu,258,113776.459999999,440.994031007751,335.623775811209,76.10619469026548
2023-10-06,Fri,223,97921.6699999999,439.11062780269,288.854483775811,65.78171091445427
2023-10-07,Sat,179,75556.56,422.103687150837,222.880707964601,52.8023598820059
2023-10-08,Sun,188,75880.86,403.62159574468,223.837345132743,55.45722713864307
2023-10-09,Mon,181,78113.33,431.565359116022,230.422802359882,53.392330383480825
2023-10-10,Tue,186,79425.0799999999,427.016559139784,234.29227138643,54.86725663716814
2023-10-11,Wed,213,91429.73,429.247558685446,269.704218289085,62.83185840707964
2023-10-12,Thu,201,86173.68,428.724776119403,254.199646017699,59.29203539823009
2023-10-13,Fri,197,82957.53,421.104213197969,244.712477876106,58.11209439528023
2023-10-14,Sat,213,92319.7,433.425821596244,272.329498525073,62.83185840707964
2023-10-15,Sun,231,103995.709999999,450.197878787878,306.772005899704,68.14159292035397
2023-10-16,Mon,289,168671.889999999,583.639757785467,497.557197640118,85.25073746312685
2023-10-17,Tue,299,171616.32,573.96762541806,506.242831858407,88.20058997050147
2023-10-18,Wed,282,165450.169999999,586.702730496453,488.053598820058,83.1858407079646
2023-10-19,Thu,264,145580.439999999,551.44106060606,429.440825958701,77.87610619469027
2023-10-20,Fri,221,114702.97,519.017963800905,338.356843657817,65.19174041297934
2023-10-21,Sat,184,87549.71,475.813641304347,258.258731563421,54.27728613569322
2023-10-22,Sun,188,84868.94,451.430531914893,250.350855457227,55.45722713864307
2023-10-23,Mon,196,89221.09,455.209642857142,263.189056047197,57.817109144542776
2023-10-24,Tue,206,102359.21,496.889368932038,301.944572271386,60.766961651917406
2023-10-25,Wed,221,108810.19,492.353800904977,320.97401179941,65.19174041297934
2023-10-26,Thu,223,109860.78,492.649237668161,324.073097345132,65.78171091445427
2023-10-27,Fri,225,107913.02,479.613422222222,318.327492625368,66.3716814159292
2023-10-28,Sat,242,110008.18,454.579256198347,324.507905604719,71.38643067846607
2023-10-29,Sun,224,96640.8499999999,431.432366071428,285.076253687315,66.07669616519173
2023-10-30,Mon,226,105170.21,465.354911504424,310.236607669616,66.66666666666666
2023-10-31,Tue,239,108894.07,455.623723849372,321.221445427728,70.50147492625368
2023-11-01,Wed,287,140349.41,489.022334494773,414.01005899705,84.66076696165192
2023-11-02,Thu,273,130711.79,478.797765567765,385.580501474926,80.53097345132744
2023-11-03,Fri,250,114811.78,459.24712,338.677817109144,73.74631268436578
2023-11-04,Sat,230,110630.58,481.00252173913,326.343893805309,67.84660766961652
2023-11-05,Sun,253,118754.09,469.383754940711,350.307050147492,74.63126843657817
2023-11-06,Mon,301,148171.31,492.263488372093,437.083510324483,88.79056047197639
2023-11-07,Tue,310,150825.15,486.532741935483,444.911946902654,91.44542772861357
2023-11-08,Wed,314,160738.53,511.906146496815,474.154955752212,92.62536873156341
2023-11-09,Thu,275,142650.37,518.728618181818,420.797551622418,81.12094395280236
2023-11-10,Fri,248,121156.5,488.534274193548,357.393805309734,73.15634218289085
2023-11-11,Sat,228,112966.52,495.467192982456,333.234572271386,67.2566371681416
2023-11-12,Sun,209,106295.85,508.592583732057,313.557079646017,61.6519174041298
2023-11-13,Mon,243,125584.29,516.807777777777,370.455132743362,71.68141592920354
2023-11-14,Tue,258,142358.389999999,551.776705426356,419.936253687315,76.10619469026548
2023-11-15,Wed,298,164296.75,551.331375838926,484.651179941003,87.90560471976401
2023-11-16,Thu,270,139767.54,517.657555555555,412.293628318584,79.64601769911505
2023-11-17,Fri,262,127493.54,486.616564885496,376.087138643067,77.28613569321534
2023-11-18,Sat,251,123808.109999999,493.259402390438,365.215663716814,74.04129793510324
2023-11-19,Sun,297,144009.77,484.88138047138,424.807581120944,87.61061946902655
2023-11-20,Mon,304,161170.71,530.166809210526,475.429823008849,89.67551622418878
2023-11-21,Tue,318,181766.36,571.592327044025,536.18395280236,93.80530973451327
2023-11-22,Wed,316,186432.41,589.975981012658,549.948112094395,93.21533923303835
2023-11-23,Thu,320,198166.07,619.26896875,584.560678466076,94.3952802359882
2023-11-24,Fri,283,168815.97,596.522862190812,497.98221238938,83.48082595870207
2023-11-25,Sat,244,134104.5,549.608606557377,395.588495575221,71.976401179941
2023-11-26,Sun,233,126646.53,543.547339055794,373.588584070796,68.73156342182891
2023-11-27,Mon,219,136395.71,622.811461187214,402.347227138643,64.60176991150442
2023-11-28,Tue,209,148858.1,712.23971291866,439.109439528023,61.6519174041298
2023-11-29,Wed,189,166782.3,882.446031746031,491.983185840707,55.75221238938053
2023-11-30,Thu,206,193705.65,940.318689320388,571.403097345132,60.766961651917406
2023-12-01,Fri,209,197538.3,945.15933014354,582.708849557522,61.6519174041298
2023-12-02,Sat,239,240808.129999999,1007.56539748953,710.348466076696,70.50147492625368
2023-12-03,Sun,260,261890.889999999,1007.27265384615,772.539498525073,76.69616519174042
2023-12-04,Mon,267,295698.45,1107.48483146067,872.266814159292,78.76106194690266
2023-12-05,Tue,285,305622.97,1072.36129824561,901.542684365781,84.070796460177
2023-12-06,Wed,298,306961.45,1030.07197986577,905.491002949852,87.90560471976401
